10 ; 250 ; green ; 1
30 ; 260 ; green ; 1
50 ; 275 ; green ; 1
70 ; 290 ; green ; 1
90 ; 300 ; green ; 1
110 ; 295 ; green ; 1
130 ; 280 ; green ; 1
150 ; 265 ; green ; 1
170 ; 255 ; green ; 1
190 ; 252 ; green ; 1
210 ; 255 ; green ; 1
230 ; 265 ; green ; 1
250 ; 280 ; green ; 1
270 ; 295 ; green ; 1
290 ; 305 ; green ; 1
310 ; 304 ; green ; 1
330 ; 293 ; green ; 1
350 ; 275 ; green ; 1
370 ; 255 ; green ; 1
390 ; 240 ; green ; 1
410 ; 235 ; green ; 1
430 ; 240 ; green ; 1
450 ; 255 ; green ; 1
470 ; 275 ; green ; 1
