45 ; 78 ; black ; 1
435 ; 348 ; blue ; 2
145 ; 178 ; green ; 3
250 ; 120 ; blue ; 2
310 ; 140 ; blue ; 2
360 ; 190 ; blue ; 2
380 ; 250 ; blue ; 2
360 ; 310 ; blue ; 2
310 ; 360 ; blue ; 2
250 ; 380 ; blue ; 2
190 ; 360 ; blue ; 2
140 ; 310 ; blue ; 2
120 ; 250 ; blue ; 2
140 ; 190 ; blue ; 2
190 ; 140 ; blue ; 2
45 ; 78 ; black ; 1
435 ; 348 ; blue ; 2
145 ; 178 ; green ; 3
250 ; 120 ; blue ; 2
310 ; 140 ; blue ; 2
360 ; 190 ; blue ; 2
380 ; 250 ; blue ; 2
360 ; 310 ; blue ; 2
310 ; 360 ; blue ; 2
250 ; 380 ; blue ; 2
190 ; 360 ; blue ; 2
140 ; 310 ; blue ; 2
120 ; 250 ; blue ; 2
140 ; 190 ; blue ; 2
190 ; 140 ; blue ; 2
250 ; 60 ; blue ; 2
250 ; 100 ; blue ; 2
250 ; 140 ; blue ; 2
250 ; 180 ; blue ; 2
250 ; 220 ; blue ; 2
250 ; 260 ; blue ; 2
250 ; 300 ; blue ; 2
250 ; 340 ; blue ; 2
250 ; 380 ; blue ; 2
250 ; 420 ; blue ; 2
220 ; 420 ; yellow ; 3
280 ; 420 ; yellow ; 3
250 ; 460 ; green ; 3
250 ; 480 ; black ; 3
